,cnterNm,cnterOperSe,rdnmadr,lnmadr,latitude,longitude,ar,fondYm,carHoldCo,trtmntPrdlst,operInstitutionNm,operPhoneNumber,rprsntvNm,weekdayOperOpenHhmm,weekdayOperColseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,rstdeInfo,asSvcIfo,homepageUrl,phoneNumber,institutionNm,referenceDate,insttCode
19,금천구 지정 독산동 재활용센터,위탁,서울특별시 금천구 독산로 303,서울특별시 금천구 독산동 990-2,37.4737391,126.9030804,413,2000-08,1,"가전제품류, 가구류, 의류, 도서 등",금천구 재활용 센터,02-863-7282,유명종,09:00,19:00,09:00,17:00,,,www.jungo7282.co.kr,02-2627-1484,서울시 금천구청,2021-08-13,3170000
20,부산광역시 기장군 재활용선별장,위탁,부산광역시 기장군 기장읍 소정안길 84,부산광역시 기장군 기장읍 내리 167-3,35.2066524,129.202335,949,2001-07,4,스티로폼+플라스틱+투명페트 외 재활용가능자원,기장군도시관리공단,051-792-4830,박승하,09:00,18:00,00:00,00:00,공휴일 미운영,,,051-709-4452,부산광역시 기장군청,2021-08-06,3400000
21,서산시 재활용 센터(녹색가게),위탁,"충청남도 서산시 시장1로 4-4, 2층","충청남도 서산시 동문동 903-6, 2층",36.7817626861,126.4552843340,249.38,2016-03,1,"중고 의류, 재활용 장난감, 도서, 잡화 등",서산 YMCA,041-664-0848,조문상,10:00,16:00,00:00,00:00,"토요일, 일요일",,,041-660-2682,충청남도 서산시청,2021-07-21,4530000
22,서대문구재활용센터,위탁,서울특별시 서대문구 연희로 292,서울특별시 서대문구 홍은동 425,37.58323052,126.9363911,1171.77,1995-06,7,"가전제품, 가구 등",(주)서대문구 재활용센터,02-394-8272,조봉현,09:00,18:00,00:00,00:00,공휴일 휴무,공휴일 제회 AS 가능,www.sdm.go.kr,02-330-1713,서대문구청 청소행정과,2021-08-01,3120000
23,순천시자원순환센터,직영,전라남도 순천시 주암면 동주로 2230-63,전라남도 순천시 주암면 구산리 832,35.06809476,127.2483342,2391000,2021-04,3,재활용품 선별,순천에코그린㈜,061-751-8864,김원래,08:00,17:00,08:00,17:00,일,,,061-751-8864,순천시청,2021-08-03,4820000
24,과천시 재활용센터,위탁,경기도 과천시 구리안로 177,경기도 과천시 갈현동 205-1,37.4071789274,126.9932813977,396,1999-12,2,"가전, 가구",처분이사,02-507-8946,홍용학,09:00,19:00,09:00,19:00,일요일,없음,없음,02-3677-2253,과천시,2021-07-29,3970000
25,보은군 생활자원회수센터,직영,,충청북도 보은군 보은읍 용암리 산37,36.493097,127.675862,1100,2021-06,2,재활용품 선별,보은군,043-540-3262,보은군수,09:00,18:00,09:00,18:00,공휴일 휴무,,http://www.boeun.go.kr/,043-540-3263,보은군,2021-07-29,4420000
26,서구 재활용선별장,직영,인천광역시 서구 거월로 39,인천광역시 서구 왕길동 61-8,37.5806255145,126.6478510078,5981,1997-09,1,"무단투기 폐기물 중 재활용가능자원 및 폐건전지, 폐형광등",인천광역시 서구청,032-560-4415,이재현,09:00,18:00,00:00,00:00,"매주 토요일, 일요일, 법정공휴일",,,032-560-4415,자원순환과,2021-07-28,3560000
27,의왕시재활용센터,위탁,경기도 의왕시 가나무로 20,경기도 의왕시 이동 478,37.33777051,126.9642594,12653,2017-10,0,음시물처리시설+재활용선별장+압축파쇄시설+대형폐기물파쇄시설,㈜이엠종합건설,070-4649-7431,황근순,08:00,16:00,16:00,16:00,매주 일요일,,,031-345-2862,경기도 의왕시청,2021-07-26,4030000
28,광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),광주광역시 동구 소태동 189-1,35.1150483773,126.936147,410,2020-02,1,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 동구청,062-608-2522,김성환,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-608-2522,광주광역시 동구청,2020-07-08,6290000
29,청주시재활용센터,위탁,충청북도 청주시 청원구 내수로 28(주성동),충청북도 청주시 청원구 주성동 297-19,36.68256185,127.4990738,594,2020-09,3,"가전, 가구, 사무용가구로 재활용?재사용 가능한 제품",㈜청주재활용센터,043-285-7289,박흥규,08:30,17:30,00:00,00:00,"일요일, 공휴일",,,043-201-4672,충청북도 청주시청,2020-09-01,5710000
30,공공재활용 선별장,직영,전라남도 화순군 한천면 덕음로 548,전라남도 화순군 한천면 가암리 산91,35.02069463,126.9907566,750,2020-05,0,종이+고철+빈병+스티로폼 등,화순군,061-379-3602,구충곤,08:00,16:00,00:00,00:00,"토요일, 공휴일",,,061-379-3602,전라남도 화순군,2020-12-18,4900000
31,대동알뜰매장,위탁,대전광역시 동구 용운로21 (대동),대전광역시 동구 대동 134-33,36.3284378564,127.4456277684,131.47,2020-03,0,헌옷,대동알뜰매장,,양영혜,10:00,17:00,00:00,00:00,,,,042-251-4573,대전광역시 동구청,2020-12-21,3640000
32,영도구 재활용선별장,직영,부산광역시 영도구 해양로 202,부산광역시 영도구 동삼동 201-14,35.08794406,129.0719674,2639,1996-07,2,재활용품,영도구 재활용선별장,051-419-4467,김철훈,09:00,18:00,12:00,12:00,공휴일,,http://www.yeongdo.go.kr/00492/00563/01723.web,051-419-4461,영도구청 청소행정과,2021-07-13,3280000
33,진천음성 광역폐기물처리장 재활용선별시설,위탁,충청북도 음성군 맹동면 원중로 873-23,충청북도 음성군 맹동면 통동리 산18,36.88718978,127.579352,3088.77,2012-01,4,유리병+고철+파지+플라스틱,㈜창우RS,043-870-0477,이덕희,08:00,17:00,00:00,00:00,"매주일요일,공휴일",,,043-539-7723,진천군 식산업자원과,2021-07-06,4450000
34,안덕면 화순리 재활용 도움센터,직영,제주특별자치도 서귀포시 안덕면 화순로 154-42,제주특별자치도 서귀포시 안덕면 화순리 1989,33.2504308849,126.330419997,95.02,2017-09,0,생활쓰레기 배출,제주특별자치도 서귀포시 안덕면,064-760-4361,이상헌,06:00,22:00,06:00,22:00,없음,null,null,064-760-3201,제주특별자치도 서귀포시청,2019-05-31,6520000
35,광주광역시 서구 재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),광주광역시 서구 세하동 765,35.1215100507,126.8264282116,1680,1999-01,6,"스티로폼,플라스틱,캔 외 재활용가능자원",㈜희망자원,062-374-9446,정향자,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-360-7667,광주광역시 서구청,2020-07-08,6290000
36,광주광역시 북구 재활용선별장,위탁,광주광역시 북구 삼소로 205(대촌동),광주광역시 북구 대촌동 753-1,35.2372334937,126.8569255607,324,2020-11,0,"스티로폼,잡병 등 재활용가능자원",성우환경㈜,062-572-1336,최봉주,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-410-6521,광주광역시 북구청,2020-07-08,6290000
37,진도군재활용선별시설,직영,전라남도 진도군 군내면 한의길 115,,34.53069593,126.2622759,800,2006-12,8,종이+고철+철캔+페트 등,진도군재활용선별시설,061-540-3781,진도군수,09:00,18:00,00:00,00:00,"매주토요일, 일요일, 공휴일",-,-,061-540-3781,전남 진도군청,2020-11-27,5000000
38,사하구재활용선별장,직영,부산광역시 사하구 낙동대로 641,부산광역시 사하구 하단동 845-52,35.12021823,128.9629623,865,1997-07,2,사하구 재활용품 선별,사하구청 자원순환과,051-220-4452,김태석,07:00,16:00,00:00,00:00,"일요일,공휴일",,,051-220-4438,부산광역시 사하구청,2021-04-27,3340000
39,(사)인천내일을 여는 집 계양구 재활용센터(계산점),위탁,인천광역시 계양구 계양대로205번길 11-3,인천광역시 계양구 계산동 942-10,37.54160178,126.7218744,1053,2001-01,2,가전제품+가구 등,(사)인천내일을 여는집,032-555-8899,이준모,09:00,18:00,00:00,00:00,공휴일(토요일운영),3개월,없음,032-450-5455,청소행정과,2021-04-05,3550000
40,(사)한국생활자원재활용협회,위탁,인천광역시 계양구 장제로743번길 14,인천광역시 계양구 작전동 26-1,37.53453818,126.7334971,642,1995-01,2,가전제품+가구 등,(사)한국생활자원재활용협회,032-552-7282,서혜정,09:00,18:00,00:00,00:00,공휴일(토요일포함),6개월,http://gyeyangrc.co.kr,032-450-5455,청소행정과,2021-04-05,3550000
41,은평구 재활용센터,위탁,서울특별시 은평구 수색동 수색로24길 16 수색동재활용집하시설,서울특별시 은평구 수색동 293-13,37.59131729,126.8845899,497,1995-06,2,"가구류,가전제품",사단법인 한국생활자원 재활용 협회 은평구지회,02-372-8272,김명종,09:00,18:00,00:00,00:00,"명절전일 및 당일 휴무,일요일",구입일로부터 6개월,http://www.eprecycle.kr/,02-372-8272,서울특별시 은평구청,2021-03-31,3110000
42,강남구재활용센터,위탁,서울특별시 강남구 개포로 247,서울특별시 강남구 개포동 1259-6,37.479138,127.0494793,660,2021-01,4,가전가구류,강남구재활용센터,02-579-6677,유익조,09:00,19:00,09:00,19:00,격주일요일,판매후6개월,www.kn4989.com,02-3423-6008,서울특별시 강남구청,2021-04-01,3220000
43,리싸이클세상,위탁,서울특별시 강남구 논현로 115길 7,서울특별시 강남구 논현동 191-6,37.50883463,127.0325018,781,2021-01,3,가전가구류,(주)리싸이클세상,02-553-1111,박쌍재,09:00,19:00,09:00,19:00,연중무휴,판매후6개월,www.rety.co.kr,02-3423-6008,서울특별시 강남구청,2021-04-01,3220000
44,중앙 재활용 도움센터,직영,제주특별자치도 서귀포시 중앙로62번길 18(서귀동),제주특별자치도 서귀포시 서귀동 277-1,33.2501708,126.5636786,92.4,2019-05,0,생활쓰레기 배출,제주특별자치도 서귀포시,064-760-3201,양윤경,00:00,23:59,00:00,23:59,없음,null,null,064-760-3201,제주특별자치도 서귀포시청,2019-05-31,6520000
45,성북구재활용센터,위탁,서울특별시 성북구 화랑로 148 (상월곡동),서울특별시 성북구 상월곡동 97-21,37.6055044,127.0474002,305,2011-05,2,가전+가구,㈜한국리싸이클링,02-941-8272,이재호,09:00,19:00,09:00,18:00,"일요일, 설, 추석",,http://www.remarketsb.co.kr/,02-2241-4415,성북구청 청소행정과,2020-06-11,3070000
46,광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),광주광역시 동구 소태동 189-1,35.1150617,126.936132,410,2021-02,3,스티로폼+플라스틱+캔+재활용가능자원,광주광역시 동구,062-608-8936,임택,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-608-8936,광주광역시 동구,2021-09-15,3590000
47,성동구 재활용센터,위탁,서울특별시 성동구 천호대로 78길 58,서울특별시 성동구 송정동 78-1,37.5569162491,127.0549690377,72,1995-06,1,전자레인지+전기오븐+전기그릴+공기청정기,성동구 도시관리공단,02-2204-7997,장기천,09:00,18:00,00:00,00:00,"매주 토요일, 일요일, 공휴일",,,02-2286-5545,서울특별시 성동구청,2021-09-30,3030000
48,김포시재활용수집소,위탁,경기도 김포시 금포로1119,경기도 김포시 걸포동 1-3,37.64624046,126.7056753,1912.92,2021-10,13,"종이류(신문, 파지, 우유팩) 외 11종",김포도시관리공사,031-985-2969,김동석,09:00,18:00,06:00,13:00,"매주 일요일, 공휴일",,http://www.gp.or.kr,031-980-2776,경기도 김포시청,2021-09-30,4090000
49,인제군 공공재활용선별시설,위탁,강원도 인제군 북면 금강로 221,강원도 인제군 북면 월학리 1235-3,38.13766188,128.212133,881.86,2005-08,7,파지+PET+PP+캔,환경에너지솔루션,033-463-8906,이용현,09:00,18:00,00:00,00:00,관공서의 공휴일에 관한 규정 제2조 준용,없음,없음,033-460-2064,강원도 인제군청,2021-09-29,4330000
50,농촌폐기물종합처리시설,직영,전라남도 담양군 담양읍 태봉로 228-73,전라남도 담양군 담양읍 삼만리 410,35.33667796,126.9980464,46.704,1995-10,1,세탁기+냉장고+가구+신발 등,담양군,,,09:00,18:00,00:00,00:00,공휴일,,http://www.damyang.go.kr/index.damyang,061-380-3079,담양군청,2021-09-29,4850000
51,용산구 재활용센터,위탁,서울특별시 용산구 한강대로67길 22-20(한강로1가),서울특별시 용산구 한강로1가 73-1,37.53764656,126.971403,360,1996-07,1,가전제품+가구류+사무용 기기+기타 재활용 가능한 물품,용산구 재활용센터,02-794-8665,제갈재호,09:00,19:00,10:00,18:00,법정공휴일 휴무,구입 후 6개월간,없음,02-2199-7314,용산구청,2021-09-15,3020000
52,용산구 재활용센터,위탁,서울특별시 용산구 한강대로67길 22-20(한강로1가),서울특별시 용산구 한강로1가 73-1,37.53764656,126.971403,360,1996-07,1,가전제품+가구류+사무용 기기+기타 재활용 가능한 물품,용산구 재활용센터,02-794-8666,제갈재호,09:00,19:00,10:00,18:00,법정공휴일 휴무,구입 후 6개월간,없음,02-2199-7314,용산구청,2021-09-15,3020000
53,영광군환경관리센터,위탁,전라남도 영광군 홍농읍 홍농로8길 214,,35.42665086,126.4321006,968,2006-12,1,PET 등 15개 품목,환경관리센터 주변지역 주민지원협의체,061-356-2127,최종화,09:00,18:00,00:00,00:00,"토요일, 일요일",해당 없음,,061-350-4966,전라남도 영광군청,2021-09-23,4970000
54,대영기업,위탁,울산광역시 남구 여천로 174,울산광역시 남구 여천동 1460,35.52604273,129.3528173,2288.29,1991-12,13,합성수지+파지+고철외,대영기업,052-260-9944,김영효,08:00,17:30,08:00,17:30,매주일요일,,,052-241-7812,울산광역시 북구청,2021-09-27,6310000
55,울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,울산광역시 울주군 온산읍 화산리 산 176-5,35.4194608,129.3287862,1432,1994-04,1,폐합성수지+종이류+플라스틱+고철+캔류 등,울산광역시 울주군청,052-204-2153,울주군수,09:00,18:00,00:00,00:00,"매주토요일,일요일 및 법정공휴일",,,052-204-2153,울산광역시 울주군청,2021-09-27,6310000
56,김천시재활용선별장,위탁,경상북도 김천시 공단4길 51-11,경상북도 김천시 응명동 1012-1,36.1589648112,128.1235107686,14660,2021-03,0,재활용품(29품목),김천시청,054-420-6183,김충섭,08:00,17:00,00:00,00:00,"일요일, 공휴일",,없음,053-357-3389,해동자원,2021-08-31,5060000
57,울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,울산광역시 울주군 온산읍 화산리 산 176-5,35.4194608,129.3287862,1432,1994-04,1,폐합성수지+종이류+플라스틱+고철+캔류,울산광역시 울주군청,052-204-2145,울주군수,09:00,18:00,00:00,00:00,"매주토요일,일요일 및 법정공휴일",,,052-204-2145,울산광역시 울주군청,2021-09-07,3730000
58,재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),광주광역시 서구 세하동 765,35.12150861,126.8264274,2880,2009-01,16,"대형폐기물 및 재활용품 수집·운반·처리, 선별장 내 시설·장비 유지관리",㈜희망자원,062-374-9446,정향자,08:30,17:30,00:00,00:00,"명절,공휴일,일요일",,,062-360-7667,서구청 청소행정과,2021-10-26,3600000
59,환경관리센터,직영,경상북도 군위군 군위읍 내량길 150,경상북도 군위군 군위읍 내량리 산58-3,36.2367537044,128.5419154885,31697,2009-01,1,생활폐기물 + 재활용폐기물,군위군청,054-380-7991,군위군수,09:00,17:00,00:00,00:00,"매주토요일, 일요일, 공휴일",,,054-383-2181,경상북도 군위군청,2021-10-21,5140000
60,보성군 생활자원회수센터,직영,전라남도 보성군 보성읍 평동로 1656,전라남도 보성군 보성읍 용문리 608,34.782254843,127.087097745,198,2021-01,4,플라스틱류+병류+스티로폼류+고철류 등,보성군,061-850-8497,보성군수,09:00,18:00,00:00,00:00,법정 공휴일,,,061-850-5344,보성군청 환경생태과,2021-10-25,4890000
61,영천시 그린환경센터,직영,경상북도 영천시 바깥완산길 433 (완산동),경상북도 영천시 완산동 산3-1,35.96461799,128.9694261,940,2014-01,3,"PET, 플라스틱, 고철, 유리병, 종이 등",영천시청,054-330-6519,최기문,09:00,18:00,18:00,18:00,"매주 토요일, 일요일, 공휴일",,,054-330-6519,경상북도 영천시청,2021-10-25,5100000
62,제천시자원관리센터,직영,충청북도 제천시 북부로 1860,충청북도 제천시 신동 653,37.1255696817,128.1723421857,150,2020-06,1,가구,충청북도 제천시,,제천시장,09:00,16:00,09:00,16:00,,,,043-641-6454,충청북도 제천시청,2021-10-21,4400000
63,태백시 생활자원회수센터,직영,"강원도 태백시 용정길 307(통동,위생매립지)",강원도 태백시 통동 336-1,37.1976912,129.003658,797.8,2021-11,1,종이+플라스틱+공병+고철+캔+장판 등,태백시,033-550-2790,태백시장,06:00,16:00,06:00,12:00,"일요일,추석+설날",,,033-550-2790,강원도 태백시청,2021-10-15,4220000
64,고성군생활자원회수센터,직영,고성군 죽왕면 짱고개길 253,고성군 죽왕면 향목리 223,38.363431,128.481443,1696,2014-07,3,PET+PS+컬캔+알류미늄캔,고성군,033-680-3983,함명준,09:00,18:00,24:00,24:00,법정공휴일,,,033-680-3983,고성군청,2021-10-15,4340000
65,곡성군 재활용품 선별장,직영,전라남도 곡성군 곡성읍 곡고로 98-157,,35.2818126122,127.3252385286,2066,2001-01,2,플라스틱병+캔류,곡성군,061-360-8529,곡성군수,09:00,18:00,09:00,14:00,일요일,해당없음,,061-360-8522,곡성군,2021-10-20,4860000
66,옥천군 생활자원회수센터,직영,충청북도 옥천군 군북면 이평1길 199,충청북도 옥천군 군북면 추소리 1,36.34698788,127.5781691,1331,2019-12,3,재활용가능자원,옥천군청,043-730-3455,옥천군수,09:00,18:00,00:00,00:00,,,,043-730-3456,옥천군청,2021-10-21,4430000
67,관악구 재활용센터(봉천점),위탁,서울특별시 관악구 봉천동 남부순환로 1663,서울특별시 관악구 봉천동 959-3,37.4851166,126.9355291,718.6,2017-06,2,가전제품+가구,관악구 지정 재활용센터(봉천점),02-883-0858,이재호,09:00,19:00,09:00,18:00,"명절연휴,일요일",가전제품 6개월,www.remarketg.co.kr,02-879-6224,서울특별시 관악구청,2021-10-15,3200000
68,관악구 재활용센터(신림점),위탁,서울특별시 관악구 신림동 남부순환로 1494,서울특별시 관악구 신림동 1570-2,37.48190245,126.9165962,729.98,2018-01,2,가전제품+가구,관악구 지정 재활용센터(신림점),02-842-8425,표택은,09:00,19:30,09:00,18:00,"명절연휴,일요일","소형가전 3개월, 대형가전6개월",,02-879-6224,서울특별시 관악구청,2021-10-15,3200000
69,관악구 재활용센터(신림2점),위탁,서울특별시 관악구 신림로 202,서울특별시 관악구 신림동 96-48,37.47542075,126.9372603,261.52,2001-01,1,가전제품+가구,관악구 지정 재활용센터(신림2점),02-877-1140,김태훈,10:00,21:00,10:00,18:00,"명절연휴,일요일","소형가전 1개월, 대형가전3개월",,02-877-1140,서울특별시 관악구청,2021-10-15,3200000
70,괴산광역생활자원회수센터,직영,충청북도 괴산군 괴산읍 능촌로2길 70-37,충청북도 괴산군 괴산읍 능촌리 465-2,36.83184835,127.8341003,270,2017-12,0,캔류.병류,괴산군,043-830-2773,괴산군수,09:00,16:00,00:00,00:00,공휴일,,,043-830-2773,괴산군,2021-10-24,4460000
71,구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,경상북도 구미시 송정동 492-7,36.114273,128.351282,626.7,1996-01,1,가전+가구,(사)한국생활자원 재활용협의회,054-455-3272,이석현,09:00,18:00,09:00,18:00,없음,판매일로부터 3개월이내 무상수리,없음,054-480-5223,경북 구미시청,2021-10-21,5080000
72,김해시 재활용품선별장,위탁,경상남도 김해시 한림면 김해대로 835번길 13-72,경상남도 김해시 한림면 퇴래리 1282,35.299424,128.7783286241,15989,2007-05,1,재활용품,(주)태광폴리켐,055-330-3409,김진춘,08:00,18:00,08:00,12:00,"매주 토요일, 일요일,공휴일",,,055-330-3404,경상남도 김해시청,2021-10-21,5350000
73,고흥자원재활용센터,직영,전라남도 고흥군 고흥읍 봉계2길 142,전라남도 고흥군 고흥읍 남계리 786-5,34.59718491,127.290166,3452,2021-01,17,생활폐기물,고흥군,061-830-5304,고흥군수,08:00,17:00,08:00,12:00,"신정, 설날, 근로자의날, 일요일",,,061-830-5304,고흥군,2021-10-19,4880000
74,목포시 재활용선별센터,직영,전라남도 목포시 대양로 241-55,전라남도 목포시 대양동 산109-3,34.82798253,126.4080458,1400,2021-08,4,"페트, 혼합플라스틱, 철캔, 고철, 폐지, 알캔, 플라스틱, 병류, 스티로폼 등",전라남도 목포시청,061-270-8076,목포시장,07:00,17:00,00:00,00:00,매주 일요일,,없음,061-270-8076,전라남도 목포시청,2021-10-19,4800000
75,서구재활용센터,위탁,부산광역시 서구 충무대로 120(암남동),부산광역시 서구 암남동 95-30,35.0810401,129.024756,184,1996-04,1,가구+가전,서구재활용센터,051-247-8777,배창호,09:00,18:00,09:00,18:00,,,,051-240-4452,부산광역시 서구청,2021-10-18,3260000
76,스마일재활용센터,위탁,부산광역시 서구 구덕로 151(초장동),부산광역시 서구 초장동 54-8,35.098152,129.020272,99,2021-06,1,가전,스마일재활용센터,051-248-4488,김만조,09:00,18:00,09:00,18:00,,,,051-240-4452,부산광역시 서구청,2021-10-18,3260000
